longitude,latitude,name,notes
-116.50436,33.96771,Adobe Inn and Spa (CA DHS),1179' elevation.
-116.30247,32.9498,Agua Caliente County Park (CA),1328' elevation.
-116.50134,33.9432,Agua Caliente Hotel and Spa (CA DHS),915' elevation.
-114.6684,47.6113,Alameda's Retreat (MT),2841' elevation.
-111.9805,46.44968,Alhambra (Hillbrook Nursing Home) (MT),CLOSED TO THE PUBLIC (as of 1994). 4351' elevation 138F source.
-106.16887,38.73256,Alpine (CO),8238' elevation 181F. (www.alpinehotsprings.com)(eMail: tracie@alpinehotsprings.com)(Reservations eMail: reservations@alpinehotsprings.com)(Phone: 719-530-1112)(Address: 16185 CR 162 Nathrop CO 81236)
-107.03748,37.74332,Antelope (CO),CLOSED TO THE PUBLIC (as of 1999). 8988'elevation 90F source.
-106.17192,38.73191,Antero (Hortense) (CO),"8202' elevation 181F. 102-112F. (http://anterohotsprings.com)(eMail: info@anterohotsprings.com)(Phone: 719-539-8204)(Address: 16120 CR 162 Nathrop CO 81236)(Mail: PO Box 668 Salida, CO 81201)"
-144.63664,65.48298,Arctic Circle Resort (AK),CLOSED AND FOR SALE (as of February 2011) 903' elevation 139F. (Phone: 907-520-5113)(Mail: Arctic Circle Hot Springs PO Box 30069 Central AK 99730)
-93.05411,34.51733,Arlington Resort Hotel and Spa (AR HSNP),628' elevation 147F average from over 30 sources at over 10000 GPM.(www.arlingtonhotel.com)(Phone: 1-800-643-1502 or 501-623-7771)(Address: 239 Central Ave Hot Springs AR 71901)
-85.84717,36.53036,Armours Red Boiling Springs Hotel (TN),779' elevation. (www.armourshotel.com)(Phone: 615-699-2180)(eMail: armourshotel@yahoo.com)(Address: 321 East Main st Red Boiling Springs TN 37150)
-107.25276,33.12674,Artesian bathhouse (NM),4240' elevation.
-110.774,43.3002,Astoria (Snake River Sporting Club) (WY),CLOSED TO THE PUBLIC (as of 2000)C. 5863' elevation 104F source. (OLD Phone: 307-733-2659)(Address: 12500 S Highway 89 Jackson WY 83001)
-112.00984,42.61937,Aura Soma Lava Rejuvenation Center (ID),5023' elevation 126F at the wellhead.
-120.70254,35.1799,Avila (Ontario) (CA),73' elevation. 105F.
-116.72287,36.97643,Baileys (NV),3703' elevation. (baileyshotsprings.com)(Phone: 775-553-2395) (Mail: PO Box 387 Beatty NV 89003)
-114.8272,42.69031,Banbury (ID),2909' elevation. (Phone: 208-543-4098)
-118.233,45.741,Bar M Ranch (OR),2163' elevation 93F source. (www.barmranch.com)(Phone: 509-736-2086)(Address: 58840 Bar M Lane. Adams. OR 97810)(Mail: 10611 W Clearwater. Kennewick. WA 99336)
-115.68209,33.42599,Bashfords Hot Mineral Spa (CA),-7' elevation.
-115.07086,43.60245,Baumgartner Campground (ID),4919' elevation 108F source.
-111.26105,42.10151,Bear Lake Hot Springs (ID),5956' elevation. 115F source. (www.sandstoneresort.com)(Phone:208-945-4545)(Address: 6668 N. Beach Rd. St Crarles ID 83272)
-122.049,44.193,Belknap Resort (OR),1692' elevation 100-110F. (www.belknaphotsprings.com)(Phone: 541-882-3512)(Address: 59296 Belknap Springs Road McKenzie Bridge OR 97413)
-116.47346,33.95284,Bella Monte Resort and Spa (CA DHS),1198' elevation.
-118.52901,37.80035,Benton (CA),5632' elevation.
-78.22901,39.62498,Berkly Springs State Park (WV),623' elevation several 74F sources at 2000 gallons per minute. (www.berkeleyspringssp.com)(Phone: 304-258-2711)(eMail: berkeleyspringsinfo@wv.gov)(Address: 2 S Washington st Berkeley Springs WV 25411)
-107.67378,38.01948,Best Western Twin Peaks (CO),7831' elevation.
-118.30795,34.07635,Beverly (CA),256' elevation.
-121.91975,41.02235,Big Bend (CA),CLOSED TO THE PUBLIC (as of 2013). 1661' elevation. 180F source. (www.bigbendhotsprings.org)
-107.25438,33.1276,Blackstone (NM),4249' elevation.
-118.574,44.354,Blue Mountain (OR),4279' elevation. 136F source. (Phone: 541-820-3744)
-106.69046,35.77226,Bodhi Manda Zen Center (Jemez) (NM),6208' elevation 110F 5GPM source.
-121.95863,45.65532,Bonneville Resort (Biba)(Moffetts) (WA),72' elevation 97F source at 20 GPM(www.bonnevilleresort.com)(Hotel Front Desk: 509-427-7767)(Guest Room Reservations: 866-459-1678)(Bonneville Hot Springs Resort 1252 E Cascade Drive. Bonneville. WA 98639)
-112.52458,40.6464,Bonneville Seabase (UT),SCUBA ONLY. 4255' elevation. (www.seabase.net)(Phone: 1-866-866-3483 or 435-884-3874)(Fax: 435-884-0132)(eMail: info@seabase.net)
-112.0938,46.1972,Boulder (MT),4870' elevation 125-180F sources. (www.boulderhotsprings.com)(Phone: 406-225-4339)(Address: 31 Hot Springs Road Boulder MT 59632)
-119.84127,39.28548,Bowers Mansion (NV),5133' elevation. (Phone: 702-849-0644)(Address: 4005 US 395 N Carson City NV 89704)
-107.67477,38.01956,Box Canyon Lodge (CO),7809' elevation.
-111.1873,45.6608,Bozeman (MT),4757' elevation 141F Source. (www.bozemanhotsprings.biz)(Phone: 406586-6492)(eMail: eMail:info@bozemanhotsprings.biz)(Address: 81123 East Gallatin Road US Highway 191 Bozeman MT 59718)
-121.975,44.782,Breitenbush (OR),2244' elevation 60-111F. (www.breitenbush.com)(Phone: 503-854-3314)
-112.11264,46.59464,Broadwater (Helena) (MT),4031' elevation. 140-154F from 5 sources. (www.thebroadwater.com)(Phone: 406-443-5777)(4920 Highway 12 West Helena MT)
-111.70387,33.41574,Buckhorn Mineral Wells Motel and Spa (AZ),1376' elevation.
-93.05403,34.51261,Buckstaff Baths (AR HSNP),616' elevation 143F average from over 30 sources at over 10000 GPM. (www.buckstaffbaths.com)(Phone: 501-623-2308)(eMail: info@buckstaffbathhouse.com)(Address: 509 Central Ave Hot Springs National Park AR 71901) (Hot Springs NP)
-115.91516,45.27814,Burgdorf (ID),6186' elevation 112F source. (www.burgdorfhotsprings.com)(Phone: 208-636-3036)(eMail:burgdorfhotsprings@gmail.com)(Address: 404 French Creek (USFS 246) McCall ID 83638)(Mail: P.O. Box 1607 McCall ID 83638)
-114.5111,37.62165,Caliente (NV),CLOSED TO THE PUBLIC (as of 2013). 4423' elevation.
-118.67552,35.87946,California (CA),3097' elevation.
-122.58,38.57892,Calistoga Oasis Spa (CA),348' elevation.
-122.57712,38.57819,Calistoga Spa (CA),348' elevation.
-122.57716,38.58845,Calistoga Village Inn and Spa (CA),384' elevation.
-114.6657,47.6144,Camas (Big Medicine) (MT),2835' elevation 120F Source. (Hot Springs Chamber of Commerce: 406-741-2662)
