longitude,latitude,name
-131.66100, 55.98300, "BAILEY HOT SPRING                    198"
-134.83900, 57.08500, "BARANOF WARM SPRINGS                 124"
-131.88200, 56.68000, "BARNES LAKE HOT SPRINGS               79"
-131.55900, 55.93300, "BELL ISLAND HOT SPRINGS              165"
-131.26700, 56.23300, "BRADFIELD CANAL HOT SPRINGS          135"
-146.05700, 65.05300, "CHENA HOT SPRINGS                    153"
-132.00500, 56.71700, "CHIEF SHAKES HOT SPRINGS             122"
-169.90000, 52.84000, "CHUGINADAK HOT SPRINGS                 H"
-144.63700, 65.48300, "CIRCLE HOT SPRINGS                   135"
-162.30000, 64.85000, "CLEAR CREEK HOT SPRINGS              149"
-149.54700, 66.21700, "DALL HOT SPRINGS                     129"
-133.64100, 55.33400, "DALTON (CRAIG) HOT SPRINGS           109"
-154.99300, 65.90800, "DENIKTOW RIDGE HOT SPRINGS             H"
-161.96100, 55.36800, "FUMAROLE                               H"
-178.79300, 51.77500, "FUMAROLES ON GARELOI ISLAND            H"
-178.77000, 51.76200, "FUMAROLES ON GARELOI ISLAND          144"
-177.16000, 51.92500, "FUMAROLES ON KANAGA ISLAND           219"
178.44400, 51.96700, "FUMAROLES ON LITTLE SITKIN ISLAND      H"
178.54700, 51.94400, "FUMAROLES ON LITTLE SITKIN ISLAND      H"
178.49100, 51.96300, "FUMAROLES ON LITTLE SITKIN ISLAND      H"
-156.49900, 57.86500, "GAS ROCKS HOT SPRING                 127"
-135.37400, 56.83600, "GODDARD HOT SPRINGS                  153"
-161.25000, 65.36700, "GRANITE MOUNTAIN HOT SPRINGS         120"
-154.83700, 64.92400, "HORNER HOT SPRINGS                   117"
-151.23800, 61.26700, "HOT LAKE IN BOTTOM OF CRATER PEAK      H"
-162.13700, 55.33400, "HOT SPRING AT WEST END EMMONS LAKE    68"
-153.88300, 67.40300, "HOT SPRING NEAR ARRIGETCH PEAKS        W"
-135.38500, 57.34800, "HOT SPRING NEAR FISH BAY             117"
-157.93300, 62.45000, "HOT SPRING NEAR FLAT                   W"
-155.09000, 58.24000, "HOT SPRING NEAR KATMAI PASS            H"
-162.46700, 64.70000, "HOT SPRING NEAR KWINIUK RIVER        106"
-150.00000, 65.45000, "HOT SPRING NEAR LITTLE MINOOK CR       H"
-157.01500, 57.17800, "HOT SPRING NEAR MOTHER GOOSE LAKE    138"
-160.49300, 55.86300, "HOT SPRING NEAR PORT MOLLER          160"
-160.69200, 61.05800, "HOT SPRING NEAR TULUKSAK RIVER         H"
-135.82000, 57.77100, "HOT SPRING NORTH ARM PERIL STRAIT    100"
-162.88500, 54.90000, "HOT SPRING ON AMAGAT ISLAND            H"
173.13000, 52.87000, "HOT SPRING ON ATTU ISLAND              W"
-142.84800, 65.04700, "HOT SPRING ON FLAT CREEK               W"
-169.71000, 52.96000, "HOT SPRING ON KAGAMIL ISLAND           H"
178.50000, 51.94000, "HOT SPRING ON LITTLE SITKIN ISLAND     H"
-172.31700, 52.35800, "HOT SPRING ON SEGUAM ISLAND            H"
-177.79000, 51.81000, "HOT SPRING ON TANAGA ISLAND            H"
-156.30000, 64.00200, "HOT SPRING ON TRIBUTARY OF INNOKO R    H"
-142.42000, 60.83700, "HOT SPRING ON TWELVEMILE CREEK         W"
-168.30000, 53.23300, "HOT SPRING ON UMNAK ISLAND           149"
-164.55000, 54.66000, "HOT SPRING ON UNIMAK ISLAND            H"
-153.98000, 58.92000, "HOT SPRING WEST OF CAPE DOUGLAS        H"
-162.48300, 55.21700, "HOT SPRINGS EAST OF COLD BAY         129"
-150.71700, 63.88300, "HOT SPRINGS EAST OF DIAMOND            W"
-156.76700, 66.36700, "HOT SPRINGS NEAR DIVISION BM         140"
-155.28000, 65.26700, "HOT SPRINGS NEAR DULBI RIVER         126"
-168.47700, 53.22300, "HOT SPRINGS NEAR GEYSER BIGHT        214"
-168.46300, 53.21300, "HOT SPRINGS NEAR GEYSER BIGHT        216"
-168.44500, 53.20700, "HOT SPRINGS NEAR GEYSER BIGHT          H"
-151.23300, 63.68300, "HOT SPRINGS NEAR GLACIER               W"
-165.85000, 54.15700, "HOT SPRINGS NEAR HOT SPRINGS BAY     181"
-168.35800, 53.25300, "HOT SPRINGS NEAR HOT SPRINGS COVE    158"
-168.36500, 53.24200, "HOT SPRINGS NEAR HOT SPRINGS COVE    192"
-137.09000, 58.37000, "HOT SPRINGS NEAR ICY POINT           153"
-162.90000, 65.21700, "HOT SPRINGS NEAR LAVA CREEK          127"
-166.91800, 53.85100, "HOT SPRINGS NEAR MAKUSHIN VOLCANO      H"
-166.87300, 53.84800, "HOT SPRINGS NEAR MAKUSHIN VOLCANO     94"
-163.25100, 54.94400, "HOT SPRINGS NEAR MORZHOVOI           145"
-154.89000, 58.27000, "HOT SPRINGS NEAR MT KATMAI             H"
-159.86300, 61.20000, "HOT SPRINGS NEAR OPHIR CREEK         145"
-157.11700, 66.15000, "HOT SPRINGS NEAR SOUTH BM            122"
-166.44800, 53.87700, "HOT SPRINGS NEAR SUMMER BAY            H"
-136.01700, 58.03300, "HOT SPRINGS NORTH END TENAKEE INLET  180"
-176.61000, 51.97000, "HOT SPRINGS ON ADAK ISLAND           154"
-165.66000, 54.23000, "HOT SPRINGS ON AKUN ISLAND             H"
-165.41000, 54.18000, "HOT SPRINGS ON AKUN ISLAND             H"
-174.26000, 52.34000, "HOT SPRINGS ON ATKA ISLAND             H"
-174.04200, 52.27000, "HOT SPRINGS ON ATKA ISLAND             H"
-174.25000, 52.19000, "HOT SPRINGS ON ATKA ISLAND           167"
-144.48300, 65.23300, "HOT SPRINGS ON BIG WINDY CREEK         H"
-168.03700, 53.95000, "HOT SPRINGS ON BOGOSLOF ISLAND         H"
-176.10800, 52.04200, "HOT SPRINGS ON GREAT SITKIN ISLAND   210"
-157.58300, 66.23300, "HOT SPRINGS ON HAWK RIVER            122"
-150.56000, 65.98300, "HOT SPRINGS ON LOWER RAY RIVER       142"
-157.73300, 61.36300, "HOT SPRINGS ON UPPER CHUILNUK RIVER    H"
-149.99300, 65.21600, "HUTLINANA HOT SPRINGS                109"
-150.85000, 66.34200, "KANUTI HOT SPRINGS                   151"
-151.23700, 65.81000, "KILO HOT SPRING                      122"
-153.31200, 65.45900, "LITTLE MELOZITNA HOT SPRINGS         176"
-166.93000, 53.89200, "MAKUSHIN VOLCANO FUMAROLES           310"
-150.63300, 65.00600, "MANLEY HOT SPRINGS                   133"
-154.69200, 65.12900, "MELOZI (MELOZITNA) SPRINGS           131"
-145.22200, 62.05800, "MINERAL SPRING (LOWER KLAWASI CONE)   82"
-135.33300, 57.64400, "NYLEN HOT SPRINGS                    120"
-144.04400, 69.33000, "OKPILAK SPRINGS                      119"
-164.92200, 65.09300, "PILGRIM SPRINGS                      178"
-154.03300, 65.97000, "POCAHONTAS HOT SPRINGS                 H"
-150.91900, 65.96300, "RAY RIVER HOT SPRING                 117"
-146.02700, 69.62700, "RED HILL SPRING                       91"
-155.06700, 67.28300, "REED RIVER HOT SPRING                122"
-164.71000, 65.85800, "SERPENTINE HOT SPRINGS               171"
-132.18000, 56.58000, "SOUTH STIKINE SPRING                   W"
-158.12000, 56.92800, "SURPRISE LAKE HOT SPRING              73"
-135.21700, 57.78100, "TENAKEE HOT SPRINGS                  109"
-168.09200, 53.44300, "THERMAL SPRINGS IN OKMOK CALDERA     212"
-148.84700, 65.27400, "TOLOVANA HOT SPRINGS                 140"
-154.00600, 66.19700, "TUNALKTEN LAKE HOT SPRING           null"
-132.28000, 56.66700, "TWIN LAKES HOT SPRINGS                70"
-145.00700, 62.08100, "UPPER KLAWASI WARM SPRINGS            86"
-156.51300, 57.83100, "W UKINEK SPRING                      178"
-157.51700, 66.38300, "WARM SPRING NEAR PURCELL MOUNTAIN     68"
-136.34100, 57.80700, "WHITE SULPHUR SPRINGS (HOONIAH H S)  111"
-93.02400, 34.54200, "BIG CHALYBEATE SPRING                 79"
-93.60700, 34.38400, "CADDO GAP SPRINGS                     95"
-93.05300, 34.51300, "HOT SPRINGS                          147"
-93.90800, 34.40600, "SPRING ON LITTLE MISSOURI RIVER       74"
-93.73900, 34.32100, "SPRING ON REDLAND MOUNTAIN            77"
-91.05300, 36.48000, "WARM SPRINGS                          82"
-110.73000, 32.28100, "AGUA CALIENTE                         86"
-110.96300, 31.69500, "AGUA CALIENTE SPRING                  90"
-113.32400, 32.98400, "AGUA CALIENTE SPRINGS                102"
-109.90200, 31.67300, "ANTELOPE SPRING                       79"
-109.26500, 31.36200, "ASTIN SPRING                          75"
-114.22100, 34.92500, "CALICHE SPRING                        79"
-113.42500, 35.21300, "CASA GRANDE SPRING                    72"
-110.40300, 33.51000, "CASSADORE SPRING                      73"
-112.36200, 33.98800, "CASTLE HOT SPRINGS                   115"
-109.29500, 33.05500, "CLIFTON HOT SPRINGS                  102"
-113.57200, 34.69500, "COFER HOT SPRING                      97"
-111.85200, 36.50900, "COLORADO POOL                         86"
-110.52800, 33.17000, "COOLIDGE DAM WARM SPRING              99"
-109.44000, 33.04600, "EAGLE CREEK HOT SPRINGS               97"
-113.85100, 35.16900, "FROST MINE SPRING                     70"
-109.35000, 32.97100, "GILLARD HOT SPRINGS                  180"
